,종목명,현재가,거래량,자본금(백만원),자본총계(백만원),영업이익증가율,영업이익(원),매출액영업이익률,EBITDA(백만원),시가총액,배당수익률,부채비율,이자보상비율,결산년월,PBR,PSR,PCR,PER,ROE,PBR_rank,PSR_rank,PCR_rank,PER_rank,DIV_rank,rank_tot
46,현대건설,50200.0,272798.0,556778.0,4603924,-36.13999938964844,548972000000.0,3.2300000190734863,720630.0,55901.0,1.190000057220459,104.63999938964844,7.03000020980835,202012,0.823585385460929,0.3312438139227978,7.381267460667549,45.29999923706055,1.840000033378601,160.0,114.0,288.0,468.0,210.0,1030.0
165,TYM,1830.0,1237538.0,74922.0,464186,112.27999877929688,29086000000.0,4.079999923706055,45680.0,2742.0,0.0,284.7300109863281,2.359999895095825,202012,1.692876965772433,0.3168831168831169,4.295774647887324,22.59000015258789,2.9800000190734863,351.0,105.0,176.0,399.0,444.0,1031.0
610,두산중공업,26200.0,12667699.0,2593536.0,36078692,-85.69000244140625,154091000000.0,1.0199999809265137,722857.0,135901.0,0.0,259.7699890136719,0.3400000035762787,202012,2.654777586381599,0.5800823628393039,8.151835718730554,0.0,-37.20000076293945,434.0,223.0,307.0,68.0,444.0,1032.0
733,메타랩스,994.0,100548.0,33168.0,73353,0.0,-1165000000.0,-1.399999976158142,3076.0,659.0,0.0,44.060001373291016,0.0,202012,1.1131019036954088,1.002016129032258,16.032258064516128,0.0,-33.91999816894531,237.0,324.0,403.0,68.0,444.0,1032.0
771,인바이오젠,3750.0,460764.0,25780.0,547358,0.0,-5259000000.0,-51.470001220703125,4294962480.0,1934.0,0.0,24.360000610351562,0.0,202012,2.830188679245283,19.63350785340314,-54.34782608695652,0.0,-62.650001525878906,441.0,511.0,15.0,68.0,444.0,1035.0
711,HSD엔진,8270.0,367823.0,46721.0,620973,0.0,20020000000.0,2.4100000858306885,38249.0,3864.0,0.0,272.5799865722656,1.409999966621399,202012,1.6070734551107657,0.5785644326290751,17.48414376321353,0.0,3.1600000858306885,340.0,222.0,417.0,68.0,444.0,1047.0
436,LG이노텍,242000.0,460852.0,118335.0,11533149,42.970001220703125,681019000000.0,7.139999866485596,1349526.0,57274.0,0.2800000011920929,148.74000549316406,13.710000038146973,202012,2.013679708432492,0.49873872685605,4.838838678717108,10.470000267028809,10.1899995803833,379.0,193.0,199.0,277.0,336.0,1048.0
184,흥아해운,3045.0,2043357.0,120212.0,694468,0.0,-5797000000.0,-6.519999980926514,8303.0,7321.0,0.0,0.0,0.0,202012,0.9485981308411215,1.2398208469055374,4.585843373493976,11.569999694824219,-2195.070068359375,202.0,365.0,188.0,297.0,444.0,1052.0
23,한국앤컴퍼니,17100.0,53068.0,47467.0,720686,-8.399999618530273,156524000000.0,19.06999969482422,184210.0,16234.0,2.9200000762939453,8.34000015258789,59.52000045776367,202012,0.44393675848282665,1.7406351791530945,16.94747274529237,6.539999961853027,5.079999923706055,21.0,412.0,412.0,207.5,66.0,1052.5
584,삼성물산,112500.0,394536.0,18688.0,14318602,-1.1200000047683716,857079000000.0,2.8399999141693115,1401087.0,210248.0,2.0399999618530273,64.91000366210938,9.069999694824219,202012,0.6810339608935165,0.6541610457273108,15.762925598991172,12.829999923706055,3.809999942779541,99.0,242.0,400.0,316.0,122.0,1057.0
